_id,fname,ftype,nid,metadata
616,4129,2,4068,
617,4130A,2,4069,
618,4130B,2,4070,
619,4131,2,4071,
620,4132,2,4072,
621,4133,2,4073,
622,4134,2,4074,
623,4135,2,4075,
624,4136,2,4076,
625,4137,2,4077,
626,4138,2,4078,
627,4139,2,4079,
628,4140,2,4080,
629,4141,2,4081,
630,4142,2,4082,
631,4144,2,4083,
632,4145,2,4084,
633,4146,2,4085,
634,4147,2,4086,
635,4149-4150,2,4453,
636,4149,8,4087,
637,4150,8,4088,
638,4160,2,4089,
639,4161A,2,4090,
640,4161B,2,4091,
641,4201,2,4092,
642,4202,2,4093,
643,4202A,8,4094,
644,4203,2,4095,
645,4204,2,4096,
646,4205,2,4097,
647,4205A,8,4098,
648,4206,2,4099,
649,4207,2,4100,
650,4208,2,4101,
651,4209,2,4102,
652,4210,2,4103,
653,4211,2,4104,
654,4212,2,4105,
655,4213,2,4106,
656,4214,2,4107,
657,4214A,2,4108,
658,4215,2,4109,
659,4216,2,4110,
660,4217,2,4111,
661,4217A,8,4112,
662,4217B,8,4113,
663,4217C,8,4114,
664,4217D,8,4115,
665,4217E,8,4116,
666,4218,2,4117,
667,4218B,8,4118,
668,4218C,8,4119,
669,4218D,2,4120,
670,4218G,2,4121,
671,4218H,2,4122,
672,4219,2,4123,
673,4219A,8,4124,
674,4220,2,4125,
675,4221,2,4126,
676,4221A,8,4127,
677,4222,2,4128,
678,4222A,8,4129,
679,4222B,8,4130,
680,4222C,8,4131,
681,4223,2,4132,
682,4223A,8,4133,
683,4223B,8,4134,
684,4224,2,4135,
685,4224A,8,4136,
686,4224B,8,4137,
687,4224C,8,4138,
688,4225,2,4139,
689,4225A,8,4140,
690,4225B,8,4141,
691,4225C,2,4142,
692,4226,8,4143,
693,4226B,2,4144,
694,4226C,8,4145,
695,4227,2,4146,
696,4227A,8,4147,
697,4228,8,4148,
698,4229,8,4149,
699,4230,2,4150,
700,4230A,8,4151,
701,4230B,8,4152,
702,4331,2,4153,
703,4332A,2,4154,
704,4332B-E,2,4454,
705,4332B,8,4155,
706,4332C,8,4156,
707,4332D,8,4157,
708,4332E,8,4158,
709,4333A-B,2,4455,
710,4333A,8,4159,
711,4333B,8,4160,
712,4334,2,4161,
713,4335,2,4162,
714,4336,2,4163,
715,4337,2,4164,
716,4338,2,4165,
717,4340,2,4166,
718,4341,8,4167,
719,4342,8,4168,
720,4347,2,4169,
721,4348,2,4170,
722,4350,8,4171,
723,4351,2,4172,
724,4352,2,4173,
725,4353,2,4174,
726,4354,2,4175,
727,4355,2,4176,
728,4357,2,4177,
729,4358,2,4178,
730,4359,8,4179,
731,4360,2,4180,
732,4361,2,4181,
733,4362,2,4182,
734,4363,2,4183,
735,4364,8,4184,
736,4365,8,4185,
