_id,ftype,fname,nid,metadata
991,2,3524,3212,
992,2,3525,3213,
993,2,3526,3214,
994,2,3527,3215,
995,2,3528,3216,
996,8,3531,3217,
997,8,3532,3218,
998,2,3533,3219,
999,2,3534,3220,
1000,2,3535,3221,
1001,2,3536,3222,
1002,2,3537,3223,
1003,2,3538,3224,
1004,2,3539,3225,
1005,2,3541,3226,
1006,2,3542,3227,
1007,2,3543,3228,
1008,2,3544,3229,
1009,2,3545,3230,
1010,2,3546,3231,
1011,2,3547,3232,
1012,9,staircase,3233,
1013,2,3548,3234,
1014,2,3549,3235,
1015,2,3551,3236,
1016,2,3552,3237,
1017,2,3553,3238,
1018,2,3554,3239,
1019,2,3555,3240,
1020,2,3556,3241,
1021,2,3557,3242,
1022,2,3558,3243,
1023,2,3559,3244,
1024,2,3561,3245,
1025,2,3562,3246,
1026,2,3563,3247,
1027,2,3564,3248,
1028,2,3565,3249,
1029,2,3566,3250,
1030,2,3567,3251,
1031,2,3568,3252,
1032,2,3569,3253,
1033,2,3570,3254,
1034,2,3571,3255,
1035,2,3572,3256,
1036,2,3573,3257,
1037,2,3574,3258,
1038,2,3575,3259,
1039,2,3576,3260,
1040,8,3577,3261,
1041,8,3578,3262,
1042,8,3579,3263,
1043,8,3580,3264,
1044,2,3581,3265,
1045,5,LIFT 27,3266,
1046,5,LIFT 28,3267,
1047,4,M,3268,
1048,9,Staircase,3269,
1049,2,3582,3270,
1050,2,3583,3271,
1051,2,3584,3272,
1052,2,3585,3273,
1053,2,3586,3274,
1054,2,3587,3275,
1055,2,3588,3276,
1056,2,3589,3277,
1057,2,3590,3278,
1058,2,3591,3279,
1059,2,3592,3280,
1060,2,3593,3281,
1061,2,3594,3282,
1062,2,3595,3283,
1063,2,3596,3284,
1064,2,3597,3285,
1065,2,3598,3286,
1066,9,Staircase,3287,
1067,2,3600,3288,
1068,8,3601,3289,
1069,8,3602,3290,
1070,8,3603,3291,
1071,8,3604,3292,
1072,8,3605,3293,
1073,8,3606,3294,
1074,8,3607,3295,
1075,8,3608,3296,
1076,8,3609,3297,
1077,8,3610,3298,
1078,8,3611,3299,
1079,8,3612,3300,
1080,8,3613,3301,
1081,8,3614,3302,
1082,8,3615,3303,
1083,2,3616,3304,
1084,9,Staircase,3305,
1085,8,3619,3306,
1086,8,3620,3307,
1087,2,3620A,3308,
1088,8,3622A,3309,
1089,8,3622,3310,
1090,8,3623,3311,
1091,8,3624,3312,
1092,5,LIFT 29,3313,
1093,5,LIFT 30,3314,
1094,2,3618,3315,
1095,8,3625A,3316,
1096,2,3625,3317,
1097,2,3626,3318,
1098,2,3627,3319,
1099,2,3627A,3320,
1100,2,3628,3321,
1101,2,3629,3322,
1102,2,3630,3323,
1103,2,3631,3324,
1104,2,3632,3325,
1105,4,F,3326,
1106,9,Staircase,3327,
1107,2,3633,3328,
1108,2,3634,3329,
1109,8,3635,3330,
1110,2,3636,3331,
1111,2,3637,3332,
1112,2,3638,3333,
1113,2,3639,3334,
1114,2,3642,3335,
1115,8,3644,3336,
1116,8,3645,3337,
1117,2,3641,3338,
1118,8,3646,3339,
1119,8,3647,3340,
1120,8,3648,3341,
1121,8,3649,3342,
1122,5,LIFT 31,3343,
1123,5,LIFT 32,3344,
1124,4,M,3345,
1125,9,Staircase,3346,
1126,2,3655,3347,
1127,2,3657,3348,
1128,2,3658,3349,
1129,2,3659,3350,
1130,2,3662,3351,
1131,2,3663,3352,
1132,2,3664,3353,
1133,9,Staircase,3354,
1134,2,3142,3355,
1135,2,3143,3356,
1136,5,LIFT 33,3357,
1137,9,Staircase,3358,
1138,1,LTJ,3359,
1139,9,Staircase,3360,
1140,9,Staircase,3361,
1141,2,3131,3362,
1142,9,Staircase,3363,
1143,5,LIFT 24,3364,
1144,9,Staircase,3365,
1145,4,M,3366,
1146,8,3234,3367,
1147,8,LIFT 23,3368,
1148,9,Staircase,3369,
1149,9,Staircase,3370,
1150,2,3018-3019,3371,
1151,5,LIFT 2,3372,
1152,4,F,3373,
1153,2,3020-3026,3374,
1154,2,3020,3375,
1155,2,3021,3376,
1156,2,3022,3377,
1157,2,3023,3378,
1158,2,3024,3379,
1159,2,3025,3380,
1160,2,3026,3381,
1161,2,3019A,3382,
1162,5,LIFT 1,3383,
1163,4,M,3384,
1164,9,Staircase,3385,
1165,2,3033A,3386,
1166,2,3033B,3387,
1167,2,3033C,3388,
1168,2,3035,3389,
1169,2,3033,3390,
1170,2,3037,3391,
1171,9,Staircase,3392,
1172,2,3101,3393,
1173,2,3107,3394,
1174,2,3107A,3395,
1175,2,3107B,3396,
1176,2,3107C,3397,
1177,2,3107D,3398,
1178,9,Staircase,3399,
1179,4,F,3400,
1180,9,Staircase,3401,
1181,5,LIFT 19,3402,
1182,2,3108,3403,
1183,9,Staircase,3404,
1184,2,3109,3405,
1185,2,3109A,3406,
1186,2,3111,3407,
1187,2,3111A,3408,
1188,8,3111B,3409,
1189,2,3113,3410,
1190,8,3113A,3411,
1191,2,3113B,3412,
1192,2,3115,3413,
1193,2,3110,3414,
1194,8,3112,3415,
1195,2,3114,3416,
1196,2,3114A,3417,
1197,2,3117,3418,
1198,8,3117A,3419,
1199,2,3118,3420,
1200,8,3118A,3421,
1201,8,3118B,3422,
1202,8,3118C,3423,
1203,2,3120,3424,
1204,8,3120B,3425,
1205,2,3122,3426,
1206,2,3123,3427,
1207,2,3124,3428,
1208,2,3126,3429,
1209,2,3127,3430,
1210,2,3116,3431,
1211,9,Staircase,3432,
1212,8,3116B,3433,
1213,2,3116A,3434,
1214,2,3119,3435,
1215,4,F,3436,
1216,9,Staircase,3437,
1217,5,LIFT 22,3438,
1218,2,3121,3439,
1219,8,3121A,3440,
1220,2,3125A,3441,
1221,2,3130,3442,
1222,2,3200,3443,
1223,8,3201A,3444,
1224,8,3201B,3445,
1225,2,3201,3446,
1226,8,3202A,3447,
1227,8,3202B,3448,
1228,8,3202C,3449,
1229,8,3202D,3450,
1230,2,3202,3451,
1231,9,Staircase,3452,
1232,4,M,3453,
1233,9,Staircase,3454,
1234,5,LIFT 20,3455,
1235,2,3203,3456,
1236,2,3204C,3457,
1237,2,3204B,3458,
1238,8,3204A,3459,
1239,8,3206,3460,
1240,2,3205,3461,
1241,2,3207,3462,
1242,2,3207B,3463,
1243,2,3207A-3208,3464,
1244,2,3208A,3465,
1245,9,Staircase,3466,
1246,4,F,3467,
1247,9,Staircase,3468,
1248,5,LIFT 21,3469,
1249,2,3209A&3209C,3470,
1250,2,3209B,3471,
1251,2,3210,3472,
1252,2,3211,3473,
1253,2,3211A,3474,
1254,2,3213,3475,
1255,2,3214,3476,
1256,8,3215,3477,
1257,2,3216,3478,
1258,8,3217,3479,
1259,8,3217A,3480,
1260,2,3218,3481,
1261,2,3219,3482,
1262,2,3220,3483,
1263,7,turning point,3484,
1264,7,turning point,3485,
1265,7,turning point,3486,
1266,7,turning point,3487,
1267,7,turning point,3488,
